species,dd long,dd lat
flood,287881.35259455,4746748.79613620
flood,235381.35259455,4746248.79613620
flood,285881.35259455,4746248.79613620
flood,286381.35259455,4746248.79613620
flood,286881.35259455,4746248.79613620
flood,287381.35259455,4746248.79613620
flood,287881.35259455,4746248.79613620
flood,236381.35259455,4745748.79613620
flood,236881.35259455,4745748.79613620
flood,237381.35259455,4745748.79613620
flood,285881.35259455,4745748.79613620
flood,286381.35259455,4745748.79613620
flood,286881.35259455,4745748.79613620
flood,287381.35259455,4745748.79613620
flood,237381.35259455,4745248.79613620
flood,237881.35259455,4745248.79613620
flood,285881.35259455,4745248.79613620
flood,286881.35259455,4745248.79613620
flood,237881.35259455,4744748.79613620
flood,285381.35259455,4744748.79613620
flood,238381.35259455,4744248.79613620
flood,238381.35259455,4743748.79613620
flood,285881.35259455,4743748.79613620
flood,286381.35259455,4743748.79613620
flood,286881.35259455,4743748.79613620
flood,287381.35259455,4743748.79613620
flood,238881.35259455,4743248.79613620
flood,286881.35259455,4743248.79613620
flood,287381.35259455,4743248.79613620
flood,287881.35259455,4743248.79613620
flood,286881.35259455,4742748.79613620
flood,287381.35259455,4742748.79613620
flood,287881.35259455,4742748.79613620
flood,239381.35259455,4742248.79613620
flood,286881.35259455,4742248.79613620
flood,287381.35259455,4742248.79613620
flood,287881.35259455,4742248.79613620
flood,239881.35259455,4741748.79613620
flood,286881.35259455,4741748.79613620
flood,287381.35259455,4741748.79613620
flood,287881.35259455,4741748.79613620
flood,286381.35259455,4741248.79613620
flood,286881.35259455,4741248.79613620
flood,287381.35259455,4741248.79613620
flood,287881.35259455,4741248.79613620
flood,249381.35259455,4740748.79613620
flood,256881.35259455,4740748.79613620
flood,286381.35259455,4740748.79613620
flood,250881.35259455,4740248.79613620
flood,254381.35259455,4740248.79613620
flood,258381.35259455,4740248.79613620
flood,243381.35259455,4739748.79613620
flood,257881.35259455,4739748.79613620
flood,285381.35259455,4739748.79613620
flood,243381.35259455,4739248.79613620
flood,243881.35259455,4739248.79613620
flood,253381.35259455,4739248.79613620
flood,285381.35259455,4739248.79613620
flood,244381.35259455,4738748.79613620
flood,244881.35259455,4738748.79613620
flood,245381.35259455,4738748.79613620
flood,247881.35259455,4738748.79613620
flood,259881.35259455,4738748.79613620
flood,260381.35259455,4738748.79613620
flood,284381.35259455,4738748.79613620
flood,284881.35259455,4738748.79613620
flood,285381.35259455,4738748.79613620
flood,260881.35259455,4738248.79613620
flood,261381.35259455,4738248.79613620
flood,283881.35259455,4738248.79613620
flood,285881.35259455,4738248.79613620
flood,287381.35259455,4738248.79613620
flood,288381.35259455,4738248.79613620
flood,261881.35259455,4737748.79613620
flood,282881.35259455,4737748.79613620
flood,262381.35259455,4737248.79613620
flood,281881.35259455,4737248.79613620
flood,288881.35259455,4737248.79613620
flood,262881.35259455,4736748.79613620
flood,263381.35259455,4736748.79613620
flood,281381.35259455,4736748.79613620
flood,280881.35259455,4736248.79613620
flood,290381.35259455,4736248.79613620
flood,263881.35259455,4735748.79613620
flood,264381.35259455,4735748.79613620
flood,264881.35259455,4735748.79613620
flood,265381.35259455,4735748.79613620
flood,280381.35259455,4735748.79613620
flood,264381.35259455,4735248.79613620
flood,264881.35259455,4735248.79613620
flood,265381.35259455,4735248.79613620
flood,277881.35259455,4735248.79613620
flood,278381.35259455,4735248.79613620
flood,278881.35259455,4735248.79613620
flood,264881.35259455,4734748.79613620
flood,279381.35259455,4734748.79613620
flood,279881.35259455,4734748.79613620
flood,265881.35259455,4734248.79613620
flood,266381.35259455,4734248.79613620
flood,291381.35259455,4734248.79613620
flood,292381.35259455,4733748.79613620
flood,266881.35259455,4733248.79613620
flood,267381.35259455,4733248.79613620
flood,293381.35259455,4733248.79613620
flood,294381.35259455,4733248.79613620
flood,294881.35259455,4733248.79613620
flood,295381.35259455,4733248.79613620
flood,267381.35259455,4732748.79613620
flood,268881.35259455,4731748.79613620
flood,272381.35259455,4731248.79613620
flood,270381.35259455,4730748.79613620
flood,271381.35259455,4729748.79613620
flood,271381.35259455,4728748.79613620
flood,271881.35259455,4727748.79613620
flood,272881.35259455,4726248.79613620
flood,273881.35259455,4725248.79613620
flood,273881.35259455,4722748.79613620
flood,274381.35259455,4722748.79613620
flood,273381.35259455,4722248.79613620
flood,273881.35259455,4722248.79613620
flood,274381.35259455,4722248.79613620
flood,273881.35259455,4721748.79613620
flood,274381.35259455,4721748.79613620
flood,274381.35259455,4721248.79613620
flood,273881.35259455,4720748.79613620
flood,274381.35259455,4720748.79613620
flood,274881.35259455,4720748.79613620
flood,274381.35259455,4720248.79613620
flood,274881.35259455,4720248.79613620
flood,274381.35259455,4719748.79613620
flood,274881.35259455,4719748.79613620
flood,274381.35259455,4719248.79613620
flood,274881.35259455,4719248.79613620
flood,274381.35259455,4717748.79613620
flood,274881.35259455,4717748.79613620
flood,274881.35259455,4716748.79613620
flood,274881.35259455,4715748.79613620
flood,275381.35259455,4715748.79613620
flood,301881.35259455,4715748.79613620
flood,302381.35259455,4715748.79613620
flood,303381.35259455,4715748.79613620
flood,303881.35259455,4715748.79613620
flood,274881.35259455,4715248.79613620
flood,275381.35259455,4715248.79613620
flood,275881.35259455,4715248.79613620
flood,276381.35259455,4715248.79613620
flood,299881.35259455,4715248.79613620
flood,300881.35259455,4715248.79613620
flood,301381.35259455,4715248.79613620
flood,301881.35259455,4715248.79613620
flood,302381.35259455,4715248.79613620
flood,302881.35259455,4715248.79613620
flood,303381.35259455,4715248.79613620
flood,303881.35259455,4715248.79613620
flood,304381.35259455,4715248.79613620
flood,304881.35259455,4715248.79613620
flood,305381.35259455,4715248.79613620
flood,305881.35259455,4715248.79613620
flood,276381.35259455,4714748.79613620
flood,299881.35259455,4714748.79613620
flood,300381.35259455,4714748.79613620
flood,300881.35259455,4714748.79613620
flood,301381.35259455,4714748.79613620
flood,301881.35259455,4714748.79613620
flood,303381.35259455,4714748.79613620
flood,305381.35259455,4714748.79613620
flood,305881.35259455,4714748.79613620
flood,307381.35259455,4714748.79613620
flood,275881.35259455,4714248.79613620
flood,299381.35259455,4714248.79613620
flood,299881.35259455,4714248.79613620
flood,300381.35259455,4714248.79613620
flood,300881.35259455,4714248.79613620
flood,301381.35259455,4714248.79613620
flood,306381.35259455,4714248.79613620
flood,306881.35259455,4714248.79613620
flood,275381.35259455,4713748.79613620
flood,275881.35259455,4713748.79613620
flood,299381.35259455,4713748.79613620
flood,299881.35259455,4713748.79613620
flood,300381.35259455,4713748.79613620
flood,300881.35259455,4713748.79613620
flood,301381.35259455,4713748.79613620
flood,301881.35259455,4713748.79613620
flood,275381.35259455,4713248.79613620
flood,275881.35259455,4713248.79613620
flood,276381.35259455,4713248.79613620
flood,297881.35259455,4713248.79613620
flood,298381.35259455,4713248.79613620
flood,298881.35259455,4713248.79613620
flood,299381.35259455,4713248.79613620
flood,299881.35259455,4713248.79613620
flood,300381.35259455,4713248.79613620
flood,300881.35259455,4713248.79613620
flood,301381.35259455,4713248.79613620
flood,301881.35259455,4713248.79613620
flood,302381.35259455,4713248.79613620
flood,275381.35259455,4712748.79613620
flood,275881.35259455,4712748.79613620
flood,276381.35259455,4712748.79613620
flood,297381.35259455,4712748.79613620
flood,297881.35259455,4712748.79613620
flood,298381.35259455,4712748.79613620
flood,298881.35259455,4712748.79613620
flood,299381.35259455,4712748.79613620
flood,299881.35259455,4712748.79613620
flood,275381.35259455,4712248.79613620
flood,275881.35259455,4712248.79613620
flood,276381.35259455,4712248.79613620
flood,296881.35259455,4712248.79613620
flood,297381.35259455,4712248.79613620
flood,297881.35259455,4712248.79613620
flood,298381.35259455,4712248.79613620
flood,298881.35259455,4712248.79613620
flood,299381.35259455,4712248.79613620
flood,299881.35259455,4712248.79613620
flood,313381.35259455,4712248.79613620
flood,313881.35259455,4712248.79613620
flood,275881.35259455,4711748.79613620
flood,276381.35259455,4711748.79613620
flood,296381.35259455,4711748.79613620
flood,296881.35259455,4711748.79613620
flood,297381.35259455,4711748.79613620
flood,297881.35259455,4711748.79613620
flood,298381.35259455,4711748.79613620
flood,298881.35259455,4711748.79613620
flood,299381.35259455,4711748.79613620
flood,313881.35259455,4711748.79613620
flood,314381.35259455,4711748.79613620
flood,276381.35259455,4711248.79613620
flood,276881.35259455,4711248.79613620
flood,277381.35259455,4711248.79613620
flood,295881.35259455,4711248.79613620
flood,296381.35259455,4711248.79613620
flood,296881.35259455,4711248.79613620
flood,297381.35259455,4711248.79613620
flood,313881.35259455,4711248.79613620
flood,276381.35259455,4710748.79613620
